Season,Building type,Cooling startegy_building level,Climate,Thermal sensation,Koppen climate classification,Clo,Met,Thermal preference,Relative humidity,Air velocity,Country,Air temperature
3,2,0,12,2.0,2,0.97,1.0,1,43.0,0.03,6,27.4
3,2,0,12,3.0,2,0.97,1.0,0,43.0,0.03,6,27.4
3,2,0,12,0.0,2,0.66,1.0,1,43.0,0.03,6,27.4
3,2,0,12,0.0,2,0.66,1.0,0,43.0,0.03,6,27.4
3,2,0,12,1.0,2,0.72,1.0,1,43.0,0.03,6,27.4
3,2,0,12,3.0,2,0.72,1.0,0,43.0,0.01,6,27.5
3,2,0,12,1.0,2,0.7,1.0,1,48.0,0.24,6,28.0
3,2,0,12,-1.0,2,0.7,1.0,2,48.0,0.24,6,28.0
3,2,0,12,-1.0,2,0.64,1.0,2,46.0,0.01,6,28.6
3,2,0,12,2.0,2,0.7,1.0,1,50.0,0.59,6,28.3
3,2,0,12,2.0,2,0.7,1.0,1,50.0,0.59,6,28.3
3,2,2,12,2.0,2,0.66,1.0,1,46.0,0.18,6,27.6
3,2,2,12,1.0,2,0.66,1.0,1,46.0,0.18,6,27.6
3,2,2,12,1.0,2,0.64,1.0,1,43.0,0.02,6,27.2
3,2,2,12,1.0,2,0.7,1.0,1,43.0,0.02,6,27.2
3,2,2,12,0.0,2,0.64,1.0,1,43.0,0.02,6,27.2
3,2,2,12,1.0,2,0.64,1.0,1,43.0,0.02,6,27.2
3,2,2,12,2.0,2,0.7,1.0,1,43.0,0.02,6,27.2
1,2,2,12,0.0,2,0.66,1.0,1,50.0,0.04,6,25.3
1,2,2,12,1.0,2,0.64,1.0,1,50.0,0.04,6,25.3
1,2,2,12,1.0,2,0.7,1.0,1,50.0,0.04,6,25.3
1,2,2,12,-1.0,2,0.75,1.0,2,50.0,0.04,6,25.3
1,2,2,12,-1.0,2,0.72,1.0,2,50.0,0.04,6,25.3
1,2,2,12,3.0,2,0.7,1.0,1,50.0,0.04,6,25.3
1,2,2,12,0.0,2,0.75,1.0,0,50.0,0.04,6,25.3
1,2,2,12,0.0,2,0.7,1.0,0,50.0,0.04,6,25.3
1,2,2,12,0.0,2,0.75,1.0,0,50.0,0.04,6,25.3
1,2,2,12,1.0,2,0.72,1.0,1,42.0,0.05,6,28.6
1,2,2,12,1.0,2,0.72,1.0,1,42.0,0.05,6,28.6
1,2,2,12,0.0,2,0.72,1.0,1,42.0,0.05,6,28.6
1,2,2,12,3.0,2,0.72,1.0,1,42.0,0.05,6,28.6
1,2,2,12,2.0,2,0.72,1.0,1,42.0,0.05,6,28.6
1,2,2,12,3.0,2,0.66,1.0,1,42.0,0.05,6,28.6
1,2,2,12,3.0,2,0.72,1.0,1,42.0,0.05,6,28.6
1,2,2,12,2.0,2,0.7,1.0,1,44.0,0.04,6,28.3
1,2,2,12,2.0,2,0.72,1.0,1,44.0,0.04,6,28.3
1,2,2,12,3.0,2,0.72,1.0,1,44.0,0.04,6,28.3
1,2,2,12,0.0,2,0.72,1.0,0,44.0,0.04,6,28.3
1,2,2,12,1.0,2,0.72,1.0,1,44.0,0.04,6,28.3
1,2,2,12,2.0,2,0.66,1.0,1,44.0,0.04,6,28.3
1,2,2,12,0.0,2,0.72,1.0,1,44.0,0.04,6,28.3
